船舶类型_标准化,平均速度(kts),重油IFO(mt)_mean,重油IFO(mt)_std,重油IFO(mt)_count,船舶载重(t)_mean,载重状态系数_mean,综合效率指标_mean
Bulk Carrier,11.46,22.85,5.51,227,67626.3,0.96,1.1
Bulk Carrier,11.47,21.76,7.83,11,71114.91,0.96,1.1
Bulk Carrier,11.48,21.3,9.21,31,73847.06,0.95,1.09
Bulk Carrier,11.49,23.92,2.32,5,67146.0,0.97,1.11
Bulk Carrier,11.5,23.04,4.44,518,66698.85,0.96,1.11
Bulk Carrier,11.51,22.27,7.59,12,70905.5,0.96,1.11
Bulk Carrier,11.52,22.62,5.41,59,65037.24,0.96,1.11
Bulk Carrier,11.53,18.39,9.58,11,68888.64,0.93,1.07
Bulk Carrier,11.54,23.11,4.22,242,65985.3,0.96,1.11
Bulk Carrier,11.55,24.44,2.29,11,63073.45,0.97,1.12
Bulk Carrier,11.56,22.24,5.16,27,63727.44,0.95,1.1
Bulk Carrier,11.57,18.49,11.73,8,73632.38,0.94,1.09
Bulk Carrier,11.58,22.95,5.26,256,67606.46,0.96,1.11
Bulk Carrier,11.59,18.8,11.04,5,65373.2,0.97,1.12
Bulk Carrier,11.6,22.03,6.82,157,64487.52,0.96,1.11
Bulk Carrier,11.62,21.58,4.84,12,58911.0,0.98,1.13
Bulk Carrier,11.63,22.58,6.44,280,68719.93,0.96,1.11
Bulk Carrier,11.64,22.49,6.18,23,69280.0,0.97,1.13
Bulk Carrier,11.65,23.69,2.73,9,61631.67,0.95,1.11
Bulk Carrier,11.66,23.33,4.06,12,59775.5,1.0,1.17
Bulk Carrier,11.67,22.75,5.34,260,68079.99,0.95,1.11
Bulk Carrier,11.68,21.56,7.03,25,67868.32,0.95,1.11
Bulk Carrier,11.69,25.11,1.14,8,67493.62,0.92,1.08
Bulk Carrier,11.7,23.2,5.45,149,64856.77,0.96,1.13
Bulk Carrier,11.71,23.22,4.95,207,67753.51,0.96,1.12
Bulk Carrier,11.72,23.36,6.86,39,71868.46,0.96,1.13
Bulk Carrier,11.73,24.68,0.96,15,65119.33,0.95,1.11
Bulk Carrier,11.74,18.57,8.94,7,57354.14,0.98,1.15
Bulk Carrier,11.75,22.79,6.13,239,65530.08,0.95,1.12
Bulk Carrier,11.76,23.14,5.97,33,69057.3,0.95,1.11
Bulk Carrier,11.77,24.67,1.19,11,61502.64,1.0,1.18
Bulk Carrier,11.78,24.23,1.4,5,66977.4,0.91,1.07
Bulk Carrier,11.79,23.3,5.6,194,67002.67,0.95,1.12
Bulk Carrier,11.8,22.47,5.6,212,65499.84,0.95,1.12
Bulk Carrier,11.81,17.3,10.25,9,54933.67,0.95,1.12
Bulk Carrier,11.82,23.41,2.64,8,67715.0,0.94,1.12
Bulk Carrier,11.83,23.32,5.52,240,69308.46,0.94,1.12
Bulk Carrier,11.84,24.37,6.28,33,65872.0,0.96,1.14
Bulk Carrier,11.85,16.93,11.01,14,73543.5,0.95,1.12
Bulk Carrier,11.87,21.91,3.32,12,61911.25,0.94,1.11
Bulk Carrier,11.88,22.0,6.22,223,67342.65,0.94,1.12
Bulk Carrier,11.9,22.54,5.94,123,65948.07,0.94,1.12
Bulk Carrier,11.91,23.96,2.41,7,65979.29,0.98,1.17
Bulk Carrier,11.92,22.91,6.56,222,69147.5,0.95,1.13
Bulk Carrier,11.93,23.31,1.31,5,70600.6,0.91,1.09
Bulk Carrier,11.94,24.32,1.97,11,70726.73,0.92,1.1
Bulk Carrier,11.95,19.87,10.01,11,67465.27,0.96,1.15
Bulk Carrier,11.96,22.8,5.73,193,67515.97,0.94,1.13
Bulk Carrier,11.98,23.5,5.14,12,67115.25,0.94,1.12
Bulk Carrier,12.0,22.86,5.73,505,66755.08,0.93,1.12
Bulk Carrier,12.01,22.75,8.1,10,69450.4,0.97,1.16
Bulk Carrier,12.02,20.42,9.31,7,71627.14,0.91,1.1
Bulk Carrier,12.03,25.1,1.52,5,80498.4,0.94,1.13
Bulk Carrier,12.04,23.13,4.73,222,67244.27,0.94,1.13
Bulk Carrier,12.05,25.43,1.52,12,68653.33,0.94,1.13
Bulk Carrier,12.06,16.07,12.87,6,77907.67,0.88,1.06
Bulk Carrier,12.07,24.23,0.97,5,77911.2,0.88,1.06
Bulk Carrier,12.08,23.36,5.67,223,69486.07,0.93,1.12
Bulk Carrier,12.1,23.0,4.56,147,64544.19,0.94,1.14
Bulk Carrier,12.12,23.04,6.02,39,64630.31,0.94,1.14
Bulk Carrier,12.13,23.17,4.5,199,65162.52,0.94,1.14
Bulk Carrier,12.15,20.74,8.43,9,63479.56,0.98,1.19
Bulk Carrier,12.16,22.4,4.8,31,66023.67,0.92,1.12
Bulk Carrier,12.17,23.48,5.14,154,68590.16,0.93,1.14
Bulk Carrier,12.18,23.64,2.36,11,71935.64,0.9,1.1
Bulk Carrier,12.2,22.85,6.05,152,67220.49,0.93,1.14
Bulk Carrier,12.21,22.59,4.72,151,68596.09,0.93,1.14
Bulk Carrier,12.23,24.62,6.85,6,64955.33,0.88,1.07
Bulk Carrier,12.24,25.43,3.63,26,70677.35,0.95,1.16
Bulk Carrier,12.25,23.21,4.78,182,65523.47,0.92,1.13
Bulk Carrier,12.27,21.12,4.45,5,52740.0,0.88,1.08
Bulk Carrier,12.28,23.14,6.28,20,62797.78,0.95,1.16
Bulk Carrier,12.29,22.83,5.48,170,66717.58,0.93,1.14
Bulk Carrier,12.3,22.92,5.74,146,66489.19,0.93,1.14
Bulk Carrier,12.31,23.47,2.6,6,72375.5,0.9,1.11
Bulk Carrier,12.32,23.36,7.32,24,67584.04,0.94,1.16
Bulk Carrier,12.33,23.72,4.69,164,67856.82,0.93,1.15
Bulk Carrier,12.35,23.42,2.88,5,69088.0,0.94,1.16
Bulk Carrier,12.36,25.26,5.9,23,71424.74,0.93,1.15
Bulk Carrier,12.37,22.82,3.73,14,63328.79,0.95,1.17
Bulk Carrier,12.38,23.22,5.26,169,69552.04,0.92,1.14
Bulk Carrier,12.39,23.89,2.9,7,63535.0,0.94,1.16
Bulk Carrier,12.4,24.05,4.57,104,69315.3,0.93,1.15
Bulk Carrier,12.41,22.3,3.36,6,58902.17,0.95,1.18
Bulk Carrier,12.42,22.51,5.12,145,64086.54,0.92,1.15
Bulk Carrier,12.44,22.06,7.49,23,66511.09,0.95,1.18
Bulk Carrier,12.45,19.69,7.27,13,55656.15,0.9,1.12
Bulk Carrier,12.46,23.73,4.64,137,68314.68,0.93,1.15
Bulk Carrier,12.47,19.34,10.91,5,67546.8,0.88,1.1
